index,oldB cell,oldT cell,oldmacrophage,oldnatural killer cell,youngB cell,youngT cell,youngmacrophage,youngnatural killer cell
Sgpp1,1.8868124575383836,1.8364806222685524,2.6310813915411924,2.4271458945488855,1.313923094942527,1.497927652230467,2.160223859171587,1.4139958618222266
Syne2,0.2573341494568709,0.5817381678551172,0.8214090462702585,1.0260288030674067,0.26416425806293337,0.45177858565356016,0.4606273606226289,0.8402690839373836
Mthfd1,1.6433625494167263,0.9905500356552411,1.00030026242624,0.7239632431597304,1.0437035237529715,0.8952384061482972,0.649151594858022,0.5062846131223879
Zbtb25,1.4875058577219484,2.493014678053854,0.9452203223892086,1.8920903013869128,0.9808476331663749,2.056378199141257,0.8552682830686532,1.477500410158673
Zbtb1,1.5708217835193623,2.3081775712462194,0.8925453517114876,1.0382167748264406,1.1821606752136884,1.8045530013198945,1.3004312770772684,1.7948483019763783
Hspa2,0.5559095042964834,0.37007789378243705,0.4723147748225352,1.511258081874741,0.41166881827986174,0.3329462176250397,0.6681982996287432,0.881739329048837
Churc1,5.360810772147279,6.231243868766253,5.1919922889230925,5.768825170403207,5.262249662938004,6.321973844669064,5.653073225516045,5.317836793138023
Fntb,0.34319985440983874,0.6811442211677824,0.2859015490796299,0.3253144013753364,0.2706492070476726,0.8506772755072228,0.3009744481328469,1.232595164407831e-30
Max,4.865073022397907,5.168119571006475,5.177362958191881,6.1538981938293205,4.028888838594279,4.449093476854566,3.850595112639787,4.0037486808168605
Fut8,0.6534928997914549,0.8441504371275557,1.3559534547955423,0.8838098439851139,0.41719693278930087,0.7647401310638485,0.8932564424217143,1.2780653677553075
Gphn,0.6143006888538968,0.7452787680635183,0.7006362187622716,1.0804436888636189,0.5331882631535041,0.4937005172443777,0.6556467486782448,1.3714732960794396
Mpp5,0.3412951035249387,0.3112531075511035,0.3414964900720783,0.9048329181114287,0.40041860263838364,0.3525588939789597,0.38801098725533384,1.0501441659149118
Atp6v1d,3.369673353308257,4.488695344178765,4.862723987559205,4.2630914878202235,2.699066252239051,4.112285854647656,4.310086421888059,3.7138558472368675
Eif2s1,3.8667113860019335,4.167670098056657,4.46945601996222,5.411265018414791,3.266792724867959,3.7085555107970345,3.61848468444561,4.099900593516083
Tmem229b,0.852124796584008,0.8611493443140437,1.2626061327865041,1.2312533756921444,0.7766730812085262,0.9084993982332007,1.524364677773764,0.805539795474577
