index,old,young
Arhgap9,4.1865584257459485,4.212797665257593
R3hdm2,1.1496348714685025,1.2268973742732847
Stac3,0.03392664079783047,0.04407141489415062
Shmt2,1.754299283265369,1.5552814712570056
Lrp1,0.3089044756093557,0.1500156588224323
Stat6,2.4728724328774634,2.194257810272088
Nab2,1.94624850059433,1.4160744716434654
Tmem194,0.32872421095508797,0.36010227642778564
Gm16230,0.06630907351124657,1.5378954280848422e-26
Zbtb39,0.14148677628798634,0.129171920539242
Prim1,0.7269601606764426,0.6258448593512833
Naca,3.481434012104954,3.88830405226296
Ptges3,4.5691697519148144,4.321660820421071
Atp5b,7.05763858746867,7.867695529603143
Baz2a,2.634835830403692,2.508555400277068
Rbms2,1.440312558693122,1.3154767611851188
Spryd4,0.4197477353409378,0.40365627348402594
Timeless,0.4260865581398563,0.4369978401372149
Stat2,0.8758587435631038,0.8770892177771599
Pan2,0.4226835053131489,0.4103202941402161
Cnpy2,2.3623559940095533,1.941970107554728
Cs,3.672802153024963,3.2591577960697466
Coq10a,0.8277785419970458,0.6450007106093631
Ankrd52,0.19369617443510576,0.24844581495577872
Nabp2,3.5523194166647403,3.0460252016993405
Rnf41,1.2965287069925124,1.0676436681900467
Smarcc2,1.2631596674918641,1.1570339796411635
Myl6,6.037492052211107,6.77300930207154
A430046D13Rik,0.3191094589597791,0.4033407441910835
Esyt1,3.642645550825086,3.569848823220973
Zc3h10,1.34235852743134,1.0443408664279024
Rpl41,0.3643257249616807,0.2876177395465416
Pa2g4,4.967285144287899,4.962185528252023
Rps26,1.9333591406464183,1.5832039959626947
Ikzf4,0.25876391600416937,0.1274501729669435
Suox,0.3177632832297686,0.274071939072843
Rab5b,1.1752617470073212,0.9538087790429777
Cdk2,0.9345453528027142,0.7618408568958592
Dgka,3.5155859933522304,3.74256763009107
Pym1,3.2680565020424956,3.0968970268164715
Tmem198b,0.23745678505007103,0.25292973407260094
Dnajc14,2.1893897962863713,1.7888304417700054
Ormdl2,2.536811342666604,2.0167711367359153
Sarnp,5.665332213417101,5.766507233681198
Gdf11,0.5792309450710014,0.6122181130405491
Cd63,0.5349671666691292,0.29491280032363537
Rdh5,0.20777065697659483,0.17016258011436533
Bloc1s1,2.47504904620803,2.5371693249252925
Tespa1,2.4849935613249468,2.2398611096154193
Insr,0.5268135852835395,0.5853996663106152
A430078G23Rik,0.8609583333652133,0.9686571168515995
Arhgef18,2.0652738016747256,1.8987356338518695
Pex11g,0.2949263408962364,0.2599218116453502
Zfp358,0.40514295446844695,0.29987886321064366
Mcoln1,0.5134623998989689,0.5803888510049506
Pnpla6,0.4039563698916139,0.3255182319139871
Xab2,1.8582757301924502,1.5019308034902954
Pet100,4.748533585172674,4.807292056787386
Stxbp2,3.0569672917930837,2.6664339846829637
Mcemp1,0.7333238829996714,0.36045564868063423
Fcor,0.057118955547741164,0.024979970429518952
Trappc5,3.4650038607295017,3.2716110170056645
Fcer2a,5.286658939239067,6.61416158788043
Cd209a,0.2527234267670285,0.23166807319986038
Evi5l,0.31645988388448293,0.23725269203155247
Map2k7,1.5527842801700806,1.3614866978749403
Snapc2,1.0018532611032673,0.7328372802920093
Timm44,2.627927692986029,2.3709294568576174
Elavl1,4.523414953049042,3.8742906913818755
Ccl25,0.42644970337645405,0.35481286653533317
Cers4,2.6147898458968806,2.383282927066539
Zfp958,0.39741274692782863,0.40233881518830705
Shcbp1,0.13470722712432753,0.16500362580083452
Arglu1,4.38116973395082,4.654067491008028
Lig4,0.17083364623494277,0.1032719233743811
Abhd13,0.7385027286182257,0.6572638264146
Tnfsf13b,0.26373625947041746,0.04230813481468281
Irs2,0.886184057910642,0.8741563082708217
Rab20,1.0678594655300566,0.5587239952907301
Carkd,0.9575751943773192,0.7606910900806138
Cars2,0.9145866058915707,0.8206320873902099
Ing1,2.837060574166897,2.715326250578663
Ankrd10,3.2184571572929537,2.6794638142865645
Arhgef7,0.7256178301640489,0.6725228469499869
Tubgcp3,0.7129324618681823,0.6081304198685883
Atp11a,0.1893805520562819,0.088411718998829
F10,0.19485037600156307,0.02084884573816776
Pcid2,1.2064622037312562,1.0965891331044937
Cul4a,1.0066404565616027,0.8288030956951759
Lamp1,6.704684019625548,6.072894942512253
Dcun1d2,0.4700920015613578,0.40224606600960894
Tmco3,0.4709532697437808,0.35653934387438685
Rasa3,3.5553261316982105,2.8296238609705266
Cdc16,1.3062354737212993,1.1408104188494186
Upf3a,1.6198315998986446,1.5351664807363241
Champ1,0.6087701045271727,0.4713959985694822
Coprs,0.1644693048780833,0.13427850546245876
Fbxo25,0.4711102654653103,0.34730798533018786
Tdrp,0.348047387265154,0.689039009386534
Erich1,1.1039046272366035,0.9345370046929623
Cln8,0.5579835174761449,0.2886182487985896
Arhgef10,0.2444533870356219,0.2556190853635641
Kbtbd11,1.6246728392495646,1.5690484738506947
5830468F06Rik,0.22385515810019174,0.21177808147395555
Mcph1,0.26257829863494137,0.25955071343899694
Agpat5,0.9556994868620751,0.7967353037052596
Gm6483,2.4957828759516505,2.7447434533066777
Gm26853,0.3449887776179995,0.3332090219840856
Gm21092,2.418210625690088,2.667464704980406
Alg11,0.40581162061316894,0.399581188995123
Nek3,0.19736510564564202,0.10366370910357985
Ckap2,0.04288702002535015,0.021259998679330382
Vps36,2.7472103422925573,2.71869508803173
Slc25a15,0.2992417102394261,0.2447200044274443
Mrps31,0.9857117863916441,0.8794991820977346
Smim19,2.9400730365966266,2.5013489013394516
Slc20a2,0.38025426157214365,0.16735177748030675
Gm17491,0.31037303207200806,0.2736845249997163
Vdac3,4.231217474224209,3.779645459945397
Polb,1.7026183441111578,1.6558484724708467
Ikbkb,5.028662329748624,5.072811258353133
Ap3m2,0.5817625263307517,0.5611295867645709
1700041G16Rik,0.20444213353228877,0.19329819589660438
Kat6a,1.5076225609676528,1.6206726519300547
Gpat4,1.291882796671689,1.105940360327453
Gins4,1.898159923669649,1.4832147198321302
Golga7,3.3434786141476676,2.950165207531549
Adam9,0.3158528710048467,0.23752038671979067
Tm2d2,2.1234207936703062,1.6457086217196164
Plekha2,4.858484892317624,4.152687094103601
Tacc1,2.2145033443069226,2.0896183104632216
Letm2,0.36249343315026755,0.41458777504513067
Whsc1l1,4.53072411530381,4.543738654079344
Plpp5,0.21337998237160088,0.11589074484970575
Ddhd2,0.5705642827684976,0.5415122313723063
