index,B cell,T cell,macrophage,natural killer cell
Mrpl15,3.558668513428892,3.8499711586953183,3.718276050359075,3.020300502099772
Lypla1,2.6403144557927796,2.6664119429130926,3.452023124752231,2.6374029262489866
Tcea1,4.396238451996107,3.778455474952245,4.45343752320975,4.05171005965796
Atp6v1h,3.562788975844785,2.6466057496855178,3.1420936127762147,3.6296980159395367
Rb1cc1,1.8874063644182857,2.091865273494662,1.8884675777262723,1.9920383431688096
4732440D04Rik,0.4680543919371933,0.4311048363057976,0.30239345001459383,0.3702705040931472
Pcmtd1,3.4686412145268837,2.726275131881114,2.1061091162974885,3.6623712326734905
Rrs1,2.581617871033963,2.6028082412319598,1.8680032725093254,1.8196285137421357
Vcpip1,1.338950715654457,1.3308779033059872,1.8469661146524763,1.7498443944232491
Sgk3,1.6967897654469613,0.5082659113000578,3.9252018581236308,0.48500939147846694
Snhg6,2.515031963733746,2.697066693034616,3.1358777608651422,1.7962885870900538
Cops5,2.4377818143422223,2.833301195042889,3.487488062817363,4.160105144982479
Cspp1,1.995812652980757,1.3802618874670156,1.8019522283714997,1.9280440512515677
Arfgef1,2.6743672699926635,2.663535599895546,2.3941900780299408,2.411063970630396
Ncoa2,1.7512779829826313,2.291134328167439,2.1862086436275336,2.5981586244332595
Tram1,6.0428815192864604,5.6816659749108895,6.055085673092448,7.4330755548043435
Lactb2,0.4545285723466817,0.753786667065467,0.776486180794582,0.4486995830709368
Terf1,1.6601503970219293,1.9852049120300108,1.665127351684684,2.565073609039011
Rpl7,0.8803546924224723,1.1534373733646777,2.1228862036287763,1.9221407841608955
Ube2w,2.9125260812267264,1.6494527277641944,3.237139055248144,2.3189052836862922
Tceb1,4.709968309574134,5.242920830020916,6.410039645838901,5.754164149693327
Tmem70,1.5150700778903394,1.6228751717191274,2.111767321007563,1.6774220745592623
Ly96,1.642020159170584,0.7835610805104117,2.99155991731846,0.39479360691599824
Mcm3,1.106371697076626,1.3116994614923905,2.1705239550564155,1.4599553236781462
Ogfrl1,0.8477349960091782,0.11527602352885774,5.717344731374069,0.5946288015380399
Smap1,2.699258132191157,4.715733828910313,3.8779712198067036,5.443299607544865
Sdhaf4,2.869995698149854,2.6615146125857407,3.034801442181606,3.0987531914820035
Lmbrd1,4.82908522081798,1.714829172644924,2.42499122779726,2.8524451994208846
Phf3,3.921623263773389,4.323053593967028,3.4380869189734176,5.4209142870834635
Ptp4a1,3.356243384417206,3.491057900073211,5.086204636080377,4.639658850976447
Prim2,0.4810245457817757,0.3949129794440137,0.7164374138893184,0.9227569119450241
Rab23,0.2771247353463344,0.41850490486310776,0.21661354929592402,2.0830858278492343e-30
Zfp451,0.833699706830005,1.0533063156661777,1.0216157794248253,1.1498769085930378
Ccdc115,2.7866869159997982,3.003545862646264,3.318730597240598,2.8755039028206
Imp4,3.2979864805596844,3.4657111585316933,2.7800499858153747,2.847618954806368
Ptpn18,7.461660940808718,5.567818968658658,6.783285355529337,5.298092806301249
Fam168b,2.4523977324864514,2.4296994402197027,2.864384767087991,2.4416516132140162
Plekhb2,1.6771288709114518,1.9843650696034674,2.6289426565842096,1.7993022036796396
Hs6st1,0.32398893781639065,0.2737160538129612,0.7275155669974824,0.09530664665228979
Uggt1,1.171756036989342,1.3802380569061043,1.7681353692727533,2.0878373138437896
Neurl3,2.7637986441008575,3.084616903203619,3.103525437467784,4.823283061763482
Arid5a,1.9777554415286398,3.122656400699012,1.500454767308416,4.093212929283081
Kansl3,1.8673160340973425,2.1284372298152583,1.904535984069319,2.2801252806292247
Lman2l,1.2767826505723643,1.1537140009567868,1.6993334615496374,0.6718088017752357
Cnnm4,0.2826141566364165,0.16738217163188937,0.49650647739351167,0.37486059616170175
Cnnm3,0.3118516639598723,0.530808383931933,0.5310087491606492,0.6187894902646148
Ankrd39,1.271006634791089,1.9023631558639102,1.1977044675349657,1.9104269831014233
Cox5b,7.77204021659988,7.728494451178313,6.502699482009371,7.9119115858298805
Actr1b,1.3935669375683009,1.6119100490252543,2.0430940426656936,2.926628330108358
Zap70,0.17250495099524504,6.20571678307326,0.5245096892161486,6.07468848662387
Tmem131,1.1523428294235745,0.8860018519313941,2.6569402030141283,0.6997617773531161
Inpp4a,0.6951252121552574,0.8912521550779071,1.4537903823426386,0.9363115651895395
Coa5,1.83486134462708,2.0595924913248265,3.3831749531582145,2.1807722926857376
Unc50,2.794191218066537,2.830092126358452,3.742768631650786,3.443794688713276
Mgat4a,1.360560811484336,0.7252739571200127,0.7698733283853354,0.9991873371635216
Tsga10,0.32319738793708447,0.06879156218609106,0.39093659219624904,0.8812403055511606
Mitd1,1.827281083887711,2.994038304933875,1.8365082543438667,2.031933571778539
Mrpl30,6.218596627296979,6.373349877854206,6.6337059650341414,6.624314625920038
Txndc9,3.706864912960533,3.600192853037493,4.61060462869507,3.712341886585698
Eif5b,5.735135228491864,5.626291517636814,5.980631129436468,5.252846287398928
Rev1,0.8638279168559692,0.5043952685028366,0.8280648410448389,0.2670483425454005
Aff3,1.8211213029789692,1.0078728270885102,0.45041382551620696,1.0053722465616992
Gm16152,2.9332818654786097,1.4446085331566463,0.23629411147865556,1.0943812019571861
Chst10,0.8171348927614599,0.984647460377173,0.4384276469488819,0.5033603280270671
Pdcl3,2.5149090762124926,3.2948715809010993,3.7421141335926995,4.158033430033843
Rpl31,1.311746923914518,2.29147990571922,3.0424196443899545,3.5859297191971926
Cnot11,1.2152928429727403,1.7416451536042188,1.8962652843753973,2.418548297564295
Rnf149,0.6705235361472693,1.8635947998078817,6.299038803378476,1.55103791774291
Map4k4,2.335704961636046,3.4166900140793017,3.2073555933799045,2.9570853378463675
Il18r1,0.0372994233887622,3.3441963908146994,0.5261672377772453,5.592229099202895
Il18rap,0.008850497400615212,1.081253925021153,0.7226737015231572,6.085032611391929
Mrps9,2.488272342563491,2.7974271838733116,2.966750072420463,3.302352279390476
Tgfbrap1,0.4744582712351539,0.5851724847226629,0.7818554002955439,0.6719503096698721
AI597479,0.2632755798181538,0.2547932515669348,0.20539548679732697,0.44129850190992387
Uxs1,0.5685043184478682,0.7927744916295427,1.6967657190381609,1.4622092593559015
Tpp2,1.9277730315044501,2.782350469345921,2.3220253751208504,2.9279849283938812
Tex30,1.665958478253635,1.6298800086322343,1.6862208745571077,1.5988946743323533
Ercc5,0.4720993385395252,0.7032129847259159,0.6207809882117811,0.3895841266537478
Wdr75,0.7886814106216189,0.9041752060180986,0.8348869554070216,0.6914567927059501
Nabp1,1.6267065908518983,3.6188136957503234,5.216420948808304,6.395746286932161
Stat4,1.282817966910588,3.2196213168396746,0.8100588789004683,6.582961666869378
Stat1,4.659823221988871,5.960529111821022,5.8080117810538825,4.010894300457872
Gls,2.827738166304878,3.4131777714908083,3.5722028074614607,2.473434226544493
Nab1,2.004424826173787,2.5849656909766017,3.036528131323104,3.994092439779745
Tmem194b,1.0270249212506322,0.6937035999087854,0.6392697143152424,1.0688102573193183
