index,old,young
Agfg2,0.8839832244655207,0.8423867970391641
Tsc22d4,2.2165139822932343,2.0248875986244124
Ppp1r35,1.292086375847087,1.1832902120767104
Mepce,0.9974747526005673,0.9346598204513245
Zcwpw1,0.816813319027411,0.7788741938076092
Pilra,0.7781132592672844,0.7149548389834537
Pilrb1,0.7323309830452106,0.6980917008030992
Pilrb2,0.7399948564204082,0.7108450649382568
Zkscan1,0.7804363087348016,0.7670462418440881
Zscan21,0.7938337121702315,0.7723426876296974
Zfp113,0.7935634888866931,0.7776558667670792
Cops6,1.9713704200266466,1.7227485865703558
Mcm7,0.9515598932721395,0.9267596127425926
Ap4m1,0.8581381471145134,0.8402808849081145
Taf6,0.9315360983527651,0.8955356187102973
Cnpy4,0.7935304891250918,0.7938710219751421
Mblac1,0.7011532190612955,0.6966326869419448
Lamtor4,1.9996448574744239,1.7735380188028245
BC037034,1.0048191932726134,0.9674615347601402
6330418K02Rik,0.7539244163956599,0.74744645429442
Zfp157,0.8648221959066902,0.8582556591665489
Zfp68,1.0503347351609542,0.96658098678159
A430033K04Rik,0.7439385239155029,0.7374432853143177
Dnaaf5,0.7784225516472381,0.7730767726484531
Sun1,0.8698638745492516,0.8411019343715648
Get4,1.1519999960740055,1.0223754837734915
Adap1,0.7643429359365123,0.7446307353652085
Cox19,1.0645582643414084,0.9770374269826702
3110082I17Rik,0.7708006996365756,0.7351280361078992
Gpr146,0.8304292508580914,0.846166077510389
C130050O18Rik,0.7106772182700403,0.6931471805600693
Zfand2a,0.7628134538898779,0.7489399548458143
Ints1,0.8107459403326643,0.7828959811414671
Mafk,0.9622465215785809,0.9058594292771184
Psmg3,0.9874266934800074,0.9619526255437009
Mad1l1,0.7735412204699985,0.7496363587873377
Nudt1,0.8379055256207069,0.814293513114303
Ftsj2,0.8116620223873441,0.778003783774358
Snx8,1.1695008556460216,1.0668200442298186
Eif3b,1.6035340754169038,1.4613088610433265
Chst12,1.1528800157045254,0.9842443966952014
Lfng,1.3624756578983528,1.212005554440402
Ttyh3,0.9113765516809238,0.9179884255111518
Iqce,0.764175526235563,0.7616712135094271
Brat1,0.7739952428779814,0.759709860076859
Amz1,0.7369579464191559,0.7289120954496987
Gna12,0.7373603797446413,0.7250101808824537
Card11,1.4900602761628596,1.2913761959178023
Foxk1,0.8837882957964807,0.8554310415622419
Ap5z1,0.8109077535691382,0.7865446557502178
Wipi2,1.1214976165427728,1.0288269987326144
Tnrc18,0.8144562528511515,0.8155945647691223
Fbxl18,0.7441003652516867,0.7368464685187464
Actb,8.127054118576314,8.053071779561904
Fscn1,0.761293379289283,0.7304192999019735
Rnf216,1.0273821005929398,0.9672396501490377
Rbakdn,0.7371194663759936,0.7068417500097568
Rbak,0.7459547409499722,0.7352457249361186
Zfp12,0.7782715328065971,0.751459382858074
Zfp316,0.7274410381711606,0.7071431016974549
E130309D02Rik,1.0972090071727743,0.9867404488723113
Zdhhc4,1.0582465877988771,0.9438402002432877
0610040B10Rik,0.8304413199896721,0.8961491642915681
Kdelr2,1.2850034611245837,1.1632352587190724
Daglb,0.897267732682486,0.833425775295855
Rac1,3.09250471793299,2.7766223434561654
Fam220a,1.225770098336217,1.134294676911445
Cyth3,0.8301381248915881,0.8069639934280002
Usp42,0.8064889557664359,0.7875458321975568
Eif2ak1,0.9767679958856073,0.9190360735318005
Aimp2,1.035245414691674,0.9603204603607564
Pms2,0.8989050455898846,0.8512270223325347
Ccz1,1.3575051086817909,1.2783387133699495
Lmtk2,0.7580477207300846,0.7607154319188058
Bhlha15,0.6994179176427641,0.6939553361036033
Tecpr1,1.405928566320708,1.4622316071895516
Bri3,1.9349880390695218,1.8378290207254722
Trrap,0.9034385507726307,0.8854532469716152
Smurf1,0.7544240112896624,0.7457107031779013
Arpc1a,1.468899429460889,1.3431866965180925
Arpc1b,5.370249009714945,4.861567878742559
Pdap1,1.6862998026387845,1.6474654248955674
Bud31,1.7428024300788396,1.6773070992503454
Ptcd1,0.8451173716072968,0.7877414803051429
Cpsf4,0.9543086357706677,0.8857607020847382
Atp5j2,3.820666992986549,3.6011695873190646
Zkscan14,0.9433112562516487,0.9537940862854265
Zkscan5,0.727449842001284,0.7192670140034351
Zfp655,0.9416951679300942,0.9123435065483183
B230303O12Rik,0.7125427522157153,0.7024442321448049
Rnf6,1.2401568455811656,1.1445029504705577
Cdk8,0.881985050962806,0.8695065499047615
Usp12,0.9032086133588976,0.8587683225115692
Rpl21,8.299459256451994,8.415799579411352
Rasl11a,0.7357089173301469,0.70143521446467
Gtf3a,1.3767097187784836,1.2763567847895898
Mtif3,0.9382595161133124,0.8775480417169628
Lnx2,0.848970853861919,0.7996581708660624
Polr1d,3.4093003006307208,3.0681089276774958
Flt3,0.805507939740544,0.7849455429320444
Pan3,1.2501827771232104,1.2328442255995418
Flt1,0.7024010591927305,0.6931471805600693
Pomp,2.989633643196606,2.6398856949581826
Slc46a3,0.89336374508126,0.8293438724012203
Slc7a1,0.913859725902567,0.9202269405245825
Ubl3,2.2948639586153816,1.852199862760908
Katnal1,0.7266057800483108,0.7095211402849638
Hmgb1,4.375967521046569,4.266447429453261
Uspl1,0.8537480506672258,0.8389190874997083
Alox5ap,1.057864965592975,0.9573718277260324
Wdr95,0.7750174801827465,0.7492890857682855
Hsph1,0.9761623399909514,1.0323619615292696
B3glct,0.7488238977638331,0.7281058015408198
Fry,0.9769756607196631,0.9462009315199117
Brca2,0.727405772182524,0.7364839879993329
N4bp2l1,1.2769865123122957,1.17129687895445
N4bp2l2,1.6295873147032023,1.614003123972664
Pds5b,0.8898020250924092,0.8876987297991837
Rfc3,0.980791216759402,0.943319384662627
Samd9l,1.2049875387197815,1.2856873559943998
Hepacam2,0.9416031833393987,0.8247407560249731
Vps50,0.9268318683174364,0.8711814921601437
Gng11,0.7528412753687103,0.7494267478160764
Bet1,1.0595644407209024,1.002796482120309
Casd1,0.8315296796596948,0.8025184015877868
Pon3,0.7761671848227922,0.7191713271774522
Pon2,1.3570170109262238,1.1930203701631457
Slc25a13,0.7129594808183759,0.7053483696165368
Shfm1,3.9578251752529297,3.730040601400224
Sdhaf3,0.9016366207710561,0.8883104000161295
Asns,0.7228184286232029,0.7038149383297752
C1galt1,0.917952980554669,0.8945212249102205
Mios,0.8232992619472645,0.7974579704483934
Rpa3,1.247581409383432,1.158811396103718
