index,B cell,T cell,macrophage,natural killer cell
Ttc14,1.709434779158965,1.7419444407309714,1.5337533583749545,1.7045511619888356
Fxr1,1.1501969566309165,1.1697500461228767,1.4664814714596819,1.1496028302789103
Dnajc19,1.6714276277069822,1.7606125134011692,2.1155054755790887,2.090716266334081
Atp11b,1.1512019040606813,1.830950433943817,1.2629249859625462,2.297472945785313
Dcun1d1,1.199198156506909,1.1949310968475193,1.3496272208171989,1.276672039616676
Mccc1,0.8380115048492655,0.8322031546752172,0.7560092537579155,0.7738018622155861
Acad9,0.8002495367862603,0.7920898619217893,0.8135435782211156,0.7766464922494004
Anxa5,1.229404592225556,1.510724564007229,3.057880576342434,1.5426758213143068
Exosc9,0.9368872986263456,0.954376240354413,1.0008167250449422,0.9497931319270716
Ccna2,0.6965545107884297,0.7005209177181151,1.118562887677364,0.6931471805599467
4932438A13Rik,1.130243028148278,1.3736236864494584,1.0917477392877826,1.2278283137284147
Nudt6,0.8467529657276195,0.8731095370178966,0.8156196534449067,0.8424881327728889
Spata5,0.7971032024344549,0.8238191770988229,0.8899087893728321,0.8359376099977868
Ankrd50,0.729740987928351,0.7349394718290237,0.756143913844201,0.7628653053523032
Hspa4l,0.821444854733862,0.8942172911328532,0.8618171624299161,0.8587072393300773
Plk4,0.7685792339114375,0.7749739705375492,0.9045583415283527,0.8020003566474042
Mfsd8,0.7796367099477677,0.7674477142274538,0.7751374310382677,0.7447941168430827
Abhd18,0.811866821287234,0.8442769252897481,0.7901483396716485,0.8442762214060843
Larp1b,0.8213947592646652,0.8742780362043504,0.9065666099599872,0.7425181842597275
Pgrmc2,0.8653283113387773,0.8711296828361336,0.9093705106685582,0.8586850331781335
Jade1,0.8871213200692151,0.9018840625038256,0.8835854694425384,0.7893691868641738
Sclt1,0.8299746200699168,0.8107746533756818,0.8343603035102928,0.8956342197026138
D3Ertd751e,0.9213513858247009,0.9168387065159747,0.8178046774296992,0.9772121855693586
Elf2,1.1628538489837856,1.251559705318934,1.2233484386955695,1.240572181707027
Ndufc1,1.8012495896936838,1.9198655886362506,2.597841954622946,1.9820266146418182
Naa15,1.2193898848920104,1.3112051624634689,1.2183982859542961,1.1687358772122745
