index,oldB cell,oldT cell,oldmacrophage,oldnatural killer cell,youngB cell,youngT cell,youngmacrophage,youngnatural killer cell
Trim12a,1.9451815100260732,1.853535749572066,1.7750907099326105,2.4213632853387987,1.8886537320110195,1.8411367591551964,1.655305872432567,2.060873226260865
Gm15133,0.7904745420992433,0.7406429433079187,0.7466457769265475,0.7612730398269992,0.772452851457122,0.7375364084973156,0.7516168159073836,0.7573939387546192
Trim12c,1.1895390972572322,1.1129440781630682,1.2724638930878522,1.2178644124139533,1.1694988712625052,1.1493628652584669,1.2618321473157483,0.9544231997506402
Trim30b,0.9097751865075036,0.7033337811193104,1.00244470457912,0.6931471805599463,0.9678359092735309,0.6985877335431774,0.9466885589771179,0.6931471805599464
Trim30a,1.3182301618756296,1.43835713874084,1.7748980130737848,1.5386753488165048,1.3389037474625072,1.4200799848623078,1.7347438225530902,1.2309775611552771
Trim30d,0.8674976302955587,0.853229691385462,1.0201983787278561,0.9055423041245002,0.8950144666844444,0.8489449357142703,0.9837165815847293,0.8635683403303337
Fam160a2,0.7711729723408165,0.8345720932759352,0.8654441210085294,0.7624375446890302,0.7533663248343118,0.777645815546502,0.7259121650281927,0.763044504690555
Smpd1,1.011331050533493,0.9999848335874634,0.9188996612838642,1.0273216639566936,0.9121413675013229,0.9241028962031758,0.877330264613669,0.9213154468100586
Arfip2,0.8977988887260172,0.8970335713265479,0.9262095527687365,0.8702010341507544,0.8582128568450657,0.8567096805992828,0.8472399270533645,0.8582006663383636
Timm10b,1.767074186909345,1.9219641660383164,2.7852384450438596,2.041646319776401,1.7249837207288323,1.9010662816247008,2.5163284146389007,1.5686778143932283
Rrp8,0.9722517208776006,0.9646820196262629,0.9145780587614675,0.9037379145216041,0.9318120646186214,0.940292944016449,0.959601581669189,0.9933382631654322
Ilk,1.2968416340050963,1.4903202624901797,2.120447271067039,2.0186095033647864,1.192822924245278,1.4026130723681776,1.7992003058059545,1.418114801990306
Taf10,2.334347335463895,2.5618473939683937,2.788451766968164,3.272070169083743,2.1701928293919526,2.520252370753171,2.7463825429791404,2.47908350837762
Tpp1,1.0754631243745902,0.9579629380797606,1.177673955896683,0.9052991911191551,1.0225740270996568,0.9352360848672004,1.03742393398546,0.953094496483951
Mrpl17,1.5275071919586998,1.4531898203334106,2.1091472402933076,1.6039392633012488,1.3752024595657666,1.3894760515423614,1.8239714112490715,1.2849868670838989
Ppfibp2,0.9568128783724722,0.7068413649470549,1.0197990929114382,0.6931471805599463,0.8605941603419603,0.6989488266329426,1.0303192221350197,0.721100365602934
Eif3f,6.45657866519085,6.062315282578502,6.013172319539822,6.156744387239739,5.956108391708626,5.9660399442693866,5.8102887005108546,5.276342480474401
Rpl27a,8.14169937406113,8.087597888803963,7.564294162267215,7.991825120976208,8.277686420471385,8.345513368979683,7.932966363963658,7.7910801611687885
Akip1,0.8844223272092401,0.9270366585805508,0.9723571448463537,1.0726535431515196,0.819695657593988,0.9100247959607471,1.0292889934437572,0.7984083633238609
Tmem9b,1.26328184666182,1.676220807590248,1.7133743752292947,2.09455390468422,1.0639205357402415,1.593554516369214,1.5053758089193516,1.7860294735651965
Dennd5a,0.9091594935353055,0.7960471187226896,1.5047277940036237,0.7280785179045935,0.870461351182003,0.7854278880604769,1.4322096062193022,0.7266271195327425
Tmem41b,0.9710203729656931,0.8979426137795009,0.9755559692115613,0.7915429961668696,0.9521928994489486,0.8664218932824446,0.9644056227145148,0.7953972293838477
1600010M07Rik,0.6984445565324754,0.697023669368606,1.941913744441066,0.6931471805599463,0.6969318408561741,0.6943349711456241,1.8683173836842524,0.6931471805599464
Ipo7,0.9556387331409504,0.9483317178699304,1.2707020351135503,1.0065839192687198,0.8993896210925629,0.9243099982844046,1.3403188780847035,0.8343630697304876
Zfp143,0.8393789433464666,0.8562776803205382,0.8673393198667769,0.8821600079374956,0.8116843042515369,0.825291936879496,0.8050630955672176,0.899942755051257
Swap70,3.0601385574423174,0.8354488161727274,1.513534366498801,0.8656905349046131,2.5567441542879474,0.7924762856536541,1.471172215656016,0.9270472028130836
Sbf2,0.7915878927846555,0.740613435404046,0.8029597397079588,0.6931471805599463,0.7501774279990367,0.7415369733905847,0.8832786410942572,0.7224873493910565
Adm,0.9103124399227073,0.7002142602408813,0.7918644797624572,0.7266630280555662,0.7565668384569102,0.7005194812767221,0.7263228653241072,0.7215573500456758
Rnf141,0.7740442096966076,0.7625665999122783,0.912863278509859,0.7604698448570679,0.7669220589371565,0.7310233286787033,0.8806109527569587,0.7542632967321481
Ctr9,0.9190598583342798,0.9250962787108696,0.9790207012666922,0.8668809181654461,0.8713559987428858,0.8759482400074187,0.9437516363596602,1.10654031466662
Eif4g2,2.8913866942597473,2.968953542673804,3.1873094267028255,2.933863303732904,2.4353691362914276,2.7138920575574867,2.9939894851141835,3.125965730875787
Usp47,0.8713728506720755,0.917350436265592,0.9992664113596074,1.1169816590759973,0.8250276696652858,0.9061423480901543,0.9927400934690376,0.9574068770026064
Arntl,0.7995597306276012,0.8139937828315729,0.7940066820702592,0.8655499244171617,0.7820521398547805,0.7614003774991297,0.8193976682991839,0.7571949475331813
Btbd10,0.8976150697340428,0.8493604898519197,1.0403563669203237,1.001281567300841,0.8422770092299248,0.8208023324297228,1.0270122509195942,0.9013083797643231
Far1,1.4205517350270886,0.9932809614552348,1.422427397056129,1.0776539579693223,1.2892108819558943,0.931621553733931,1.4735003474452544,0.964110607658285
Rras2,1.280823408006856,1.2589827900893213,1.3377591959414772,2.018461430843527,1.2293713900074872,1.3231113044020888,1.403469573754062,1.447320202468684
Copb1,1.2809271619013591,1.3176874890236485,1.4986873220085857,1.8086354995243983,1.1485709920190335,1.1903650578447127,1.4626762509714257,1.4138267218889153
Psma1,2.3961051503957917,2.307638184917643,3.0613248638873825,2.8599325446913384,2.189506418124683,2.0354342447906615,3.025306211934308,2.111534164964911
Pde3b,0.8071425461773635,1.0214977003302164,0.7679067811451138,1.2422816127178355,0.8334472023401787,1.0812129548521154,0.7655876554788643,0.9698631561250844
1110004F10Rik,2.1021436000185005,2.1592634921649307,2.2561921690800766,2.403796354745002,1.9219735426919438,2.0671754758166814,2.158332568113172,2.434036141182927
Rps13,8.30003433353793,8.288105245469453,7.617968204897999,7.836153606165937,8.386467674632163,8.522092350793333,7.98950867940572,7.922604299631013
